"temp","humid","wind","rain","pm_grade","season","press"
27,89.3,3.5,1,"Moderate",0,1000.9
24.6,92.5,2.2,1,"Good",0,999.6
27.5,76.3,1.6,0,"Moderate",0,1003.2
29.9,69.5,2.1,0,"Moderate",0,995
26.6,72.4,1.9,0,"Good",0,999.4
23.4,71.5,4.2,0,"Good",0,998.7
21.3,70.3,2.1,0,"Good",0,1000.2
20.1,64.1,2.5,0,"Good",0,1003.7
19.9,72.5,1.6,0,"Moderate",0,1004.9
13.6,52.3,2.2,0,"Good",0,1010.7
15.2,67.1,1.6,0,"Bad",0,1015.4
13.7,84.3,2.3,1,"Moderate",0,1009.2
5.5,40.9,1.8,0,"Good",0,1015.2
13.6,90.5,4.2,1,"Good",0,998
4.1,61.6,2.7,0,"Moderate",0,1015.4
2.1,63.1,1.7,0,"Moderate",1,1019.1
-4.9,47,1.7,0,"Moderate",1,1019.6
-0.8,51.9,2.1,0,"Good",1,1012.8
-4.2,64,2,0,"Moderate",1,1014.9
-3.9,79.5,1.8,1,"Bad",1,1006.9
-6.3,37.9,1.8,0,"Good",1,1021.2
-8.8,40,3.5,0,"Good",1,1015.6
1.4,71.8,2.4,0,"Moderate",1,1010.2
-5.1,57.9,3.2,1,"Good",1,1006.2
2.9,33,1.8,0,"Moderate",1,1014.7
7.2,62.4,1.9,0,"Moderate",1,1013.5
10.2,50.8,1.8,0,"Very_bad",1,1015.4
5.8,65.9,4,1,"Moderate",1,1004.5
14.5,41,1.8,0,"Moderate",1,1004.1
12.6,50,2.6,0,"Moderate",1,1019.8
9.9,64.3,3.2,0,"Good",1,1005.9
16.2,51.8,2.6,0,"Good",1,1010.6
14.1,56.4,2.1,0,"Moderate",1,1007.6
18.5,48.9,2.7,0,"Good",1,1003.1
19.4,61,2.7,0,"Moderate",1,997.9
19.1,80.8,1.8,1,"Moderate",0,994.3
24.2,74.6,1.8,0,"Good",0,1001.7
23,71.1,1.9,0,"Moderate",0,1001.2
26.3,70.9,1.8,0,"Moderate",0,996.8
25.5,77.3,1.9,0,"Good",0,995.5
26.4,80.1,1.9,1,"Good",0,1003.4
29.8,69.9,2.5,1,"Good",0,990.6
28,65,2.1,0,"Good",0,993.5
24.3,69.6,2.8,1,"Good",0,1000.4
25,85.5,1.8,1,"Good",0,996.4
24.3,60.3,2.4,0,"Good",0,999.8
